;0;1001;1015;1016;1020;1030;1031;1034;1035;1041;1045;1050;1053;1056;1061;1062;1063;1064;1065;1067;1068;1070;1074;1076;1082;1084;1088;1089;1091;1102;1115;1123;1126;1133;1151;1164;1165;1174;1176;1177;1179;1186;1187;1190;1193;1204;1210;1213;1231;1236;1255;1273;1313;1315;1350;1371;1372;1497;1689;1708;1865;1868
1041;56.59;76.17;115.0;76.92;43.18;87.4;108.47;139.93;112.59;0.0;50.67;169.0;173.26;166.4;145.1;153.14;166.64;91.53;188.2;111.62;106.61;143.57;64.08;16.78;90.32;76.08;126.89;128.16;63.22;113.99;126.12;64.85;8.22;61.54;30.71;107.78;101.79;45.54;103.54;83.04;159.8;46.37;58.97;71.74;208.55;187.31;92.82;30.12;70.15;96.75;147.9;26.38;139.65;77.41;77.2;81.55;148.73;125.96;31.8;83.56;168.84;154.66
1045;71.24;84.88;154.82;116.74;97.34;63.04;117.17;148.63;121.29;50.67;0.0;197.39;214.23;207.37;186.07;194.12;207.61;132.51;229.18;156.21;151.2;179.09;100.77;87.5;131.3;111.94;139.49;140.77;84.22;38.04;167.1;105.83;53.96;106.13;36.79;120.39;137.98;86.52;116.14;63.83;200.78;5.4;11.93;112.72;249.53;228.29;105.43;65.68;16.09;56.77;160.5;68.67;180.63;38.66;39.56;126.14;189.7;166.94;72.78;31.85;209.81;167.27
1050;130.54;116.5;126.95;158.28;178.99;108.8;92.79;56.36;84.03;169.0;197.39;0.0;95.39;181.75;125.54;133.58;149.37;194.15;183.17;60.52;69.56;27.65;134.24;176.24;192.93;220.0;64.82;62.49;131.53;212.99;141.02;167.47;172.5;113.4;161.61;92.32;245.71;143.49;96.88;107.98;191.43;183.52;212.36;174.35;121.84;182.28;106.12;148.52;206.54;121.69;43.72;147.53;93.53;129.65;129.49;90.6;150.47;228.58;144.63;182.55;163.54;49.78
1053;149.97;167.18;101.35;99.78;165.71;178.41;199.47;135.82;203.59;173.26;214.23;95.39;0.0;72.15;58.31;70.64;69.7;174.22;73.56;95.75;90.74;96.14;155.43;181.1;200.04;224.86;137.86;137.61;154.57;248.01;101.4;155.44;177.36;138.43;175.66;199.13;250.57;135.14;194.89;174.39;81.82;209.31;221.91;162.33;33.91;72.67;184.17;164.15;235.55;188.1;117.04;160.69;38.07;211.43;211.22;111.78;70.81;137.87;149.68;217.57;53.93;129.2
1056;151.03;168.24;96.09;92.92;154.5;179.47;200.54;232.0;204.66;166.4;207.37;181.75;72.15;0.0;26.98;29.27;19.3;107.48;44.37;109.25;104.27;183.07;155.99;174.54;133.3;180.82;218.8;220.08;155.14;241.44;80.03;124.7;170.8;131.87;169.1;199.7;244.01;149.0;195.45;174.95;10.46;202.75;215.34;126.03;74.69;44.37;184.74;157.58;228.98;188.67;239.81;154.13;49.25;204.87;204.66;161.14;29.43;71.13;143.11;211.01;25.33;246.58
1061;129.73;146.94;73.19;71.62;137.56;158.17;179.24;210.7;183.36;145.1;186.07;125.54;58.31;26.98;0.0;10.96;19.85;125.6;73.23;88.06;83.08;117.79;134.8;153.34;151.43;197.11;197.61;198.88;133.94;220.25;73.64;127.69;149.6;110.67;147.9;178.51;222.81;107.38;174.26;153.76;15.47;181.56;194.15;134.57;93.58;72.34;163.54;136.39;207.79;167.47;218.62;132.93;37.96;183.68;183.47;139.95;16.07;89.26;121.92;189.82;53.86;225.39
1062;137.77;154.98;43.98;79.66;145.6;166.21;187.28;218.74;191.4;153.14;194.12;133.58;70.64;29.27;10.96;0.0;10.74;114.02;69.51;96.1;91.12;125.83;142.84;161.38;139.85;205.15;205.65;206.92;141.98;228.29;42.78;131.25;157.65;118.72;155.94;186.55;230.86;115.42;182.3;161.8;13.57;189.6;202.19;132.57;89.86;68.62;171.58;144.43;215.83;175.51;226.66;140.97;46.0;191.72;191.51;147.99;6.44;77.68;129.96;197.86;54.38;233.43
1063;151.27;168.48;45.46;93.16;146.76;179.71;200.78;232.24;204.9;166.64;207.61;149.37;69.7;19.3;19.85;10.74;0.0;98.73;68.22;110.18;105.2;150.2;156.92;175.46;124.55;172.06;219.73;221.0;156.06;242.37;46.58;115.95;171.72;132.79;170.02;200.62;244.93;129.5;196.38;175.88;12.21;203.68;216.27;117.27;97.0;67.33;185.66;158.51;229.91;189.59;240.74;155.05;50.17;205.8;205.58;162.07;6.11;62.38;144.04;211.94;47.65;247.5
1064;73.86;101.39;40.92;85.25;50.6;112.62;133.68;165.15;137.8;91.53;132.51;194.15;174.22;107.48;125.6;114.02;98.73;0.0;157.61;137.02;132.01;168.97;89.48;104.59;18.39;65.9;152.29;153.56;88.62;171.5;46.46;29.33;100.85;86.94;99.15;133.18;121.87;53.62;128.94;108.44;110.58;132.8;145.4;19.41;177.62;156.72;118.22;87.64;159.04;122.15;173.3;84.18;121.75;134.93;134.71;106.95;81.76;40.41;68.45;141.07;128.26;180.06
1065;172.83;190.05;116.3;114.72;180.66;201.27;222.34;253.8;226.46;188.2;229.18;183.17;73.56;44.37;73.23;69.51;68.22;157.61;0.0;131.16;126.18;183.41;177.9;196.44;182.9;240.21;240.71;241.98;177.04;263.35;116.74;174.3;192.71;153.78;191.0;221.61;265.92;150.48;217.36;196.86;64.68;224.66;237.25;175.63;75.03;1.04;206.64;179.49;250.89;210.57;261.72;176.03;71.57;226.78;226.57;183.05;69.89;120.73;165.02;232.92;31.69;268.49
