,Haversine_Distance
324,109.8569441670975
325,107.79566294191152
326,86.30845998362942
327,110.41074981772941
328,41.75517346894444
329,42.65043832300146
330,41.57567221360745
331,33.4583894756564
332,39.88309213398283
333,40.38777397429673
334,40.38777397429673
335,58.10619503889309
336,66.02560937987312
337,58.13353162016262
338,41.02224222512584
339,52.04141252763051
340,64.0271179598725
341,44.3634618583034
342,66.76377093221697
343,71.30248539010418
344,66.20084371545406
345,64.8536608125786
346,21.087443449131683
347,42.42878325765974
348,64.8536608125786
349,42.67434101122749
350,54.60633499531865
351,42.39749158892248
352,109.99300036304045
353,79.29506462065754
354,73.75096420853768
355,74.11359665644598
356,78.79749012011636
357,142.69682941428596
358,95.24765034441435
359,95.04091851095333
360,97.23738859486181
361,94.74135513559983
362,97.48747440156599
363,104.68224297819614
364,107.89939615740768
365,92.36521400518325
366,65.8069350156074
367,90.55968608530328
368,54.09204911349458
369,90.70117096280693
370,64.0271179598725
371,66.78287981565236
372,66.89621795365053
373,80.63724792380357
374,60.15959580190216
375,58.10619503889309
376,50.601749342086634
377,81.5234666614338
378,49.177530630439236
379,66.02560937987312
380,58.13353162016262
381,80.4147141201348
382,60.936899463866474
383,86.95039245085735
384,84.80595495243489
385,86.95039245085735
386,80.92790070094198
387,82.93225191627872
388,83.63817439219505
389,71.99711429017762
390,134.93431516341678
391,121.69982077501747
392,77.81598555493623
393,130.96644610680556
394,111.58616509993159
395,115.54547313165486
396,21.087443449131683
397,21.17810589060865
398,24.16606287292985
399,22.803781392152203
400,42.436364159247766
401,33.145057276188105
402,36.19277722642343
403,26.04230922366078
404,22.287859530682216
405,17.209516783636694
406,26.04230922366078
407,89.87897765564342
408,89.87897765564342
409,89.69678023951909
410,93.829499511425
411,100.58746818353828
412,86.95978877717648
413,40.02049902227071
414,40.73680608751603
415,36.21824390925801
416,42.212779362188314
417,43.847164587162816
418,38.27058803346223
419,39.6610076095445
420,35.3739558079868
421,33.4583894756564
422,39.810374732595214
423,35.732670754734514
424,39.88309213398283
425,33.493588944558745
426,37.6473598738468
427,35.70775665703366
428,21.796893879947948
429,38.66457178966993
430,26.542152330646413
431,5.459996080749199
432,3.3192439202637636
433,5.8308497176210645
434,31.97663580147683
435,30.353360348714208
436,29.140189917970435
437,30.524211132344842
438,29.140189917970435
439,28.875836778303476
440,26.72222894692913
441,102.41895973058209
442,102.41895973058209
443,104.87386366316656
444,101.65627700729945
445,9.10598232400497
446,45.49614288206953
447,16.88618029764552
448,14.807927704173474
449,21.331168122114907
450,17.073652146121844
451,21.443395857360006
452,126.27219472318184
453,122.63931224344685
454,122.4118564251037
455,106.52730601158335
456,145.68355964536354
457,146.3237013657134
458,130.14848122123652
459,42.67434101122749
460,42.327549766538915
461,42.67434101122749
462,115.04716049032056
463,127.14942646952593
464,129.6225763699579
465,124.73904396260195
466,130.26417865298305
467,130.89689323617344
468,54.760564772192296
469,41.02224222512584
470,52.04141252763051
471,44.3634618583034
472,38.05370664902886
473,22.4324360396052
474,19.414759132492883
475,29.002618612951512
476,28.443281326344568
477,55.487816434203985
478,67.43651063059856
479,54.60633499531865
480,50.49022048066578
481,49.95119449073398
482,70.1590463490602
483,48.21051919956839
484,48.21883774101956
485,52.40428182467009
486,48.44949072919388
487,70.90266363133885
488,48.12596726547917
489,70.97943801486538
490,110.2669238032832
491,106.60580603889778
492,109.99300036304045
493,109.99300036304045
494,108.66277184081024
495,72.26439779754718
496,72.26439779754718
497,72.26439779754718
498,58.420098542320524
499,75.37501062031917
500,65.97513675503589
501,60.05239628959966
502,8.840427975931833
503,8.840427975931833
504,11.256731115713466
505,60.28022371586358
506,214.2557340738861
507,36.906015040533816
508,41.684637691476034
509,42.8883444409277
510,38.2568610041827
511,41.57567221360745
512,67.43651063059856
513,77.81598555493623
514,66.68935416187139
515,115.54547313165486
516,34.09571139686762
517,19.414759132492883
518,22.63908408088191
519,28.443281326344568
520,36.19277722642343
521,22.24050634550051
522,22.287859530682216
523,29.34532077996538
524,109.99300036304045
525,101.65627700729945
526,106.52730601158335
527,109.99300036304045
528,42.327549766538915
529,95.45326192856113
530,33.733813579626165
531,37.6473598738468
532,33.493588944558745
533,31.654503424867485
534,31.927863990196222
535,30.524211132344842
536,29.91673398868865
537,72.26439779754718
538,98.30662239517898
539,89.69678023951909
540,111.85951393294567
541,108.865255358508
542,87.70367540823248
543,79.29506462065754
544,73.75096420853768
545,78.79749012011636
546,102.41895973058209
547,102.41895973058209
548,104.87386366316656
549,94.19669074134353
550,86.95978877717648
551,35.82069926767058
552,34.0389990977101
553,44.250426834510556
554,40.38777397429673
555,86.95039245085735
556,85.75335319032067
557,84.80595495243489
558,86.95039245085735
559,52.04141252763051
560,44.3634618583034
561,145.238672376875
562,126.27219472318184
563,122.63931224344685
564,146.3237013657134
565,145.68355964536354
566,55.17740649922963
567,46.92539947070882
568,49.95119449073398
569,49.61239725887598
570,47.04456328472023
571,22.803781392152203
572,38.66457178966993
573,16.88618029764552
574,22.018747679943466
575,28.875836778303476
576,21.760039361631634
577,93.80233835386801
578,91.26108706070643
579,93.80233835386801
580,95.55121621562104
581,130.89689323617344
582,41.02224222512584
583,41.58645993942089
584,52.04141252763051
585,44.3634618583034
586,40.66826141927131
587,32.78208827663411
588,22.803781392152203
589,26.04230922366078
590,22.288481180837675
591,21.34040406872393
592,17.209516783636694
593,30.524211132344842
594,30.524211132344842
595,29.91673398868865
596,104.66769269296829
597,58.420098542320524
598,73.4332381838757
599,93.829499511425
600,100.58746818353828
601,86.95978877717648
602,85.94169775135603
603,80.63724792380357
604,58.10619503889309
605,67.7315656299533
606,71.80966047437968
607,49.177530630439236
608,58.13353162016262
609,59.35094696852839
610,8.840427975931833
611,11.256731115713466
612,16.58573501784446
613,12.61525163668742
614,45.49614288206953
615,11.965782762233895
616,21.331168122114907
617,3.3192439202637636
618,6.011305500748416
619,7.12828245194839
620,21.331168122114907
621,42.098824868061065
622,42.65043832300146
623,41.75517346894444
624,36.827384398971894
625,37.71375190992982
626,33.493588944558745
627,39.76046792383491
628,34.0389990977101
629,43.27452882301544
630,38.11584349837509
