from;to;distance;time
1065;1372;69.89;94.53850000000001
1067;0;73.16;86.94166666666666
1067;1016;100.9;119.85733333333333
1067;1031;67.2;104.40316666666666
1067;1034;55.91;83.09066666666666
1067;1035;126.79;143.04016666666666
1067;1041;111.62;130.5965
1067;1045;156.21;190.78266666666664
1067;1053;95.75;115.98583333333333
1067;1056;109.25;149.26033333333334
1067;1061;88.06;117.26416666666667
1067;1062;96.1;127.33466666666666
1067;1063;110.18;149.417
1067;1065;131.16;172.38833333333332
1067;1067;0.0;0.0
1067;1068;5.46;9.915666666666668
1067;1070;40.55;59.405833333333334
1067;1076;119.75;138.1328333333333
1067;1082;136.45;155.325
1067;1084;163.52;180.60783333333333
1067;1088;50.71;71.409
1067;1089;50.46;72.68566666666668
1067;1091;76.9;92.23833333333333
1067;1102;170.42;197.04149999999998
1067;1115;154.83;178.87199999999999
1067;1123;110.98;126.209
1067;1126;116.01;135.30566666666667
1067;1133;56.91;70.13366666666667
1067;1151;114.31;134.33466666666666
1067;1176;117.21;132.221
1067;1177;96.71;111.02566666666667
1067;1179;102.87;141.44616666666667
