Recipient_ID;Recipient_ID;Shipment_ID;Loading_Date;Weight;Freight_Cost;Sender_Street;Sender_Postal_Code;Sender_City;Recipient_Street;Recipient_Postal_Code;Recipient_City;Recipient_House_No;Calendar_Week;Recipient_Longitude;Recipient_Latitude;Sender_Longitude;Sender_Latitude;Real_Distance;Duration;Euc_Distance;Weekday
1235;1235;18401;2020-08-18;11.787;18.1;Trinidadstraße 44;27356;Rotenburg (Wümme);FOCKESTRASSE ;27777;GANDERKESEE;53 ;33;8.59354;53.068444;9.3372;53.124339;64051.1;3074.1;50.040955497470684;1
1236;1236;18404;2020-08-18;466.0;62.83;Trinidadstraße 44;27356;Rotenburg (Wümme);FOCKESTRASSE ;27777;GANDERKESEE;67 ;33;8.59354;53.068444;9.3372;53.124339;64051.1;3074.1;50.040955497470684;1
1106;1106;18409;2020-08-18;1233.73;92.29;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTSTRASSE ;26689;APEN;101 ;33;7.786704;53.21815;9.3372;53.124339;127253.4;5580.7;103.86848268102955;1
1200;1200;18410;2020-08-18;1319.5361109064645;94.94;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;8 ;33;7.789361;53.179567;9.3372;53.124339;130687.5;5785.2;103.39522980374788;1
706;706;18413;2020-08-18;2123.52;113.32;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;33;7.813597;53.134596;9.3372;53.124339;123151.6;5595.3;101.65627700729945;1
1397;1397;18414;2020-08-18;649.813;67.4;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;33;8.253594;53.108459;9.3372;53.124339;87546.4;3851.5;72.33890920065701;1
1331;1331;18417;2020-08-18;361.911;67.88;Trinidadstraße 44;27356;Rotenburg (Wümme);KOPPELWEG ;49681;GARREL;10 ;33;8.03512;52.930792;9.3372;53.124339;112559.1;4598.4;89.69678023951909;1
1293;1293;18421;2020-08-18;555.0;57.33;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIEPARK BRUNDORF ;28790;SCHWANEWEDE;14 ;33;8.693508;53.232874;9.3372;53.124339;66839.3;3041.9;44.56191820138161;1
1318;1318;18426;2020-08-18;753.141;69.81;Trinidadstraße 44;27356;Rotenburg (Wümme);HÜLSMEYER STRASSE ;49406;EYDELSTEDT;56 ;33;8.525849;52.702806;9.3372;53.124339;91273.1;4674.3;71.80966047437968;1
1110;1110;18429;2020-08-18;30.0;38.45;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHNHOF ;49424;GOLDENSTEDT;10 ;33;8.394492;52.8003;9.3372;53.124339;85932.4;3934.0;72.69667999479175;1
1284;1284;18431;2020-08-18;16358.59;225.48;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;33;7.917339;52.732237;9.3372;53.124339;122139.3;5073.3;104.68224297819614;1
