,Euc_Distance
215,53.247766399047556
216,51.71384522499017
217,47.072088631786556
218,70.1590463490602
219,48.192820680706184
220,70.97943801486538
221,11.256731115713466
222,45.49614288206953
223,38.66457178966993
224,16.88607044715543
225,21.331168122114907
226,35.761737707511834
227,95.24770970393443
228,67.43651063059856
229,94.8705382426288
230,76.91971192010008
231,76.91971192010008
232,89.39952802921432
233,76.10149670216792
234,35.70050992028964
235,40.04721680587786
236,26.04230922366078
237,98.83740975816225
238,93.80233835386801
239,91.45887786623689
240,93.80233835386801
241,92.43215232389582
242,95.2327564421738
243,95.55121621562104
244,94.6692372182695
245,137.0951387693866
246,118.09434548572958
247,112.49471057258445
248,76.42300040171631
249,85.66977587380946
250,89.69678023951909
251,90.32278432112786
252,93.829499511425
253,84.70956259094784
254,107.31773049159862
255,97.48747440156599
256,102.40770606479376
257,104.68224297819614
258,145.2864812277724
259,143.87760029979148
260,126.27219472318184
261,125.86933911056458
262,122.77472163689583
263,146.28483212705854
264,145.68355964536354
265,55.35692139921839
266,50.00541657757668
267,50.040955497470684
268,50.040955497470684
269,54.602506572232976
270,31.72583976688465
271,21.405804261874575
272,22.018747679943466
273,30.524211132344842
274,29.7685363427645
275,31.199960557300187
276,135.59913215252215
277,149.24879695613984
278,35.53954965594383
279,35.53954965594383
280,35.53954965594383
281,36.05869306459485
282,38.13723764046
283,42.88832569966228
284,76.1195013823201
285,51.32260506520584
286,54.72902655092485
287,47.12475783774368
288,63.8856894260414
289,50.84093987538504
290,60.021629553933
291,72.33890920065701
292,106.50249510475021
293,86.95978877717648
294,73.98131618086605
295,46.17101763286834
296,47.072088631786556
297,45.84353957991468
298,46.78301296710091
299,47.37534656398681
300,65.97513675503589
301,86.95039245085735
302,86.95039245085735
303,82.53215619444538
304,97.23738859486181
305,92.29633035458242
306,82.9753844665531
307,95.89186406541396
308,109.91891519112322
309,124.85677376987859
310,105.01023255517076
311,106.38392439390552
312,101.95424519502478
313,98.0516794277243
314,37.6473598738468
315,35.48226887442577
316,80.63724792380357
317,71.80966047437968
318,49.57468338389478
319,95.57916927640747
320,41.58645993942089
321,40.38837522950575
322,89.65189462928141
323,109.22566965008349
324,109.8569441670975
325,107.79566294191152
326,86.39919346698488
327,110.41074981772941
328,41.787021902471785
329,42.65043832300146
330,41.46229730013664
331,33.41424681978819
332,40.62643970784477
333,40.44209439664968
334,40.44209439664968
335,58.0088984792715
336,66.02560937987312
337,60.33871920804173
338,40.832764371325084
339,51.46036375696112
340,64.0271179598725
341,44.56191820138161
342,66.76377093221697
343,71.30248539010418
344,65.25550055643441
345,64.8536608125786
346,21.087443449131683
347,42.19378172760575
348,64.8536608125786
349,42.67434101122749
350,54.61890769961574
351,42.39749158892248
352,109.99300036304045
353,79.29506462065754
354,73.75096420853768
355,74.3309142728347
356,78.56749418147875
357,142.14937290025458
358,95.24770970393443
359,95.04091851095333
360,97.23738859486181
361,95.6453511106438
362,97.48747440156599
363,104.68224297819614
364,105.7145935134644
365,92.36518440558385
366,65.8069350156074
367,90.55968608530328
368,54.04307718250836
369,90.8727012154815
370,64.0271179598725
371,66.78287981565236
372,66.89621795365053
373,80.63724792380357
374,59.62603805633945
375,58.0088984792715
376,50.60169642849973
377,81.5234666614338
378,49.57468338389478
379,66.02560937987312
380,60.33871920804173
381,80.4147141201348
382,60.936899463866474
383,86.95039245085735
384,84.70956259094784
385,86.95039245085735
386,80.92790070094198
387,82.9753844665531
388,83.63817439219505
389,72.69667999479175
390,134.93431516341678
391,122.03002437786272
392,76.91971192010008
393,131.17153213604692
394,112.66683722854039
395,115.54547313165486
396,21.087443449131683
397,21.17810589060865
398,24.132760224081586
399,22.803781392152203
400,42.436364159247766
401,33.145057276188105
402,36.19275426488829
403,26.04230922366078
404,22.86167615731109
405,18.810775482701473
406,26.04230922366078
407,89.01161547973665
408,89.01161547973665
409,89.69678023951909
410,93.829499511425
411,101.0081695909236
412,86.95978877717648
413,40.02049902227071
414,40.73680608751603
