ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
1310;129;2020-01-06;6641.0;137.4;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27809;LEMWERDER;9 ;1
1256;130;2020-01-06;67.0;41.97;Trinidadstraße 44;27356;Rotenburg (Wümme);WILHELM MAYBACH STRASSE ;27793;WILDESHAUSEN;7 ;1
1397;131;2020-01-06;4665.76;124.01;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;1
1177;132;2020-01-06;18.214;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);BARGLOYER WEG ;27793;WILDESHAUSEN;14 ;1
1154;133;2020-01-06;9238.5;135.88;Trinidadstraße 44;27356;Rotenburg (Wümme);HAINHOLZSTRASSE ;27336;RETHEM;59 ;1
1334;134;2020-01-06;14518.0;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1
1100;135;2020-01-06;4353.5;133.72;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIERING ;49696;MOLBERGEN;8 ;1
906;136;2020-01-06;1050.36;84.27;Trinidadstraße 44;27356;Rotenburg (Wümme);MAGIRUSSTRASSE ;49453;REHDEN;4 ;1
992;137;2020-01-06;56.346;36.96;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;28857;SYKE;11 ;1
719;138;2020-01-06;73.781;41.97;Trinidadstraße 44;27356;Rotenburg (Wümme);GEWERBEGEBIET ;27245;BARENBURG;1 ;1
1341;139;2020-01-06;807.25;72.31;Trinidadstraße 44;27356;Rotenburg (Wümme);NIENBURGER STRASSE ;27232;SULINGEN;204 ;1
1321;140;2020-01-06;9272.34;135.88;Trinidadstraße 44;27356;Rotenburg (Wümme);AUF DEM HILGENLAND ;28857;SYKE;4 ;1
1004;141;2020-01-06;6666.0;153.76;Trinidadstraße 44;27356;Rotenburg (Wümme);SIEMENSSTRASSE ;49453;REHDEN;10 ;1
1018;142;2020-01-06;4632.0;109.24;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;28816;STUHR;26 ;1
784;143;2020-01-06;4237.88;105.26;Trinidadstraße 44;27356;Rotenburg (Wümme);BRUCH ;28844;WEYHE;36 ;1
